Category,License_number,Begin_reporting_period,End_reporting_period,Total_sales,Excise_tax_due
PROCESSORS,413076.0,2014-12-01,2014-12-31,35518.2,8879.55
PROCESSORS,412149.0,2014-12-01,2014-12-31,239178.78,59794.7
PROCESSORS,412593.0,2014-12-01,2014-12-31,600.0,150.0
PROCESSORS,413943.0,2014-12-01,2014-12-31,71772.5,17943.13
PROCESSORS,412352.0,2014-12-01,2014-12-31,13655.72,3413.93
PROCESSORS,412373.0,2014-12-01,2014-12-31,2554.5,638.63
PROCESSORS,412154.0,2014-12-01,2014-12-31,11170.44,2792.61
PROCESSORS,412616.0,2014-12-01,2014-12-31,51707.0,12926.75
PROCESSORS,412063.0,2014-12-01,2014-12-31,17904.0,4476.0
PROCESSORS,412567.0,2014-12-01,2014-12-31,5240.75,1310.19
PROCESSORS,412099.0,2014-12-01,2014-12-31,10113.0,2528.25
PROCESSORS,412681.0,2014-12-01,2014-12-31,17801.95,4450.49
PROCESSORS,412282.0,2014-12-01,2014-12-31,4744.0,1186.0
PROCESSORS,412570.0,2014-12-01,2014-12-31,2692.0,673.0
PROCESSORS,412104.0,2014-12-01,2014-12-31,15361.0,3840.25
PROCESSORS,412762.0,2014-12-01,2014-12-31,29064.0,7266.0
PROCESSORS,416125.0,2014-12-01,2014-12-31,4481.75,1120.44
PROCESSORS,412426.0,2014-12-01,2014-12-31,11076.69,2769.17
PROCESSORS,412148.0,2014-12-01,2014-12-31,37425.08,9356.27
PROCESSORS,412449.0,2014-12-01,2014-12-31,1188.02,297.01
PROCESSORS,412273.0,2014-12-01,2014-12-31,104638.68,26159.67
PROCESSORS,412240.0,2014-12-01,2014-12-31,36211.5,9052.87
PROCESSORS,416843.0,2014-12-01,2014-12-31,33862.13,8465.53
PROCESSORS,412403.0,2014-12-01,2014-12-31,13608.75,3402.19
PROCESSORS,412249.0,2014-12-01,2014-12-31,73368.0,18342.0
PROCESSORS,412409.0,2014-12-01,2014-12-31,22657.0,5664.25
PROCESSORS,413324.0,2014-12-01,2014-12-31,8530.08,2132.52
PROCESSORS,412155.0,2014-12-01,2014-12-31,32044.25,8011.06
PROCESSORS,413179.0,2014-12-01,2014-12-31,33240.5,8310.13
PROCESSORS,412311.0,2014-12-01,2014-12-31,13072.0,3268.0
PROCESSORS,412402.0,2014-12-01,2014-12-31,44860.0,11215.0
PROCESSORS,412060.0,2014-12-01,2014-12-31,9074.09,2268.52
PROCESSORS,415707.0,2014-12-01,2014-12-31,34010.36,8502.59
PROCESSORS,415783.0,2014-12-01,2014-12-31,15639.5,3909.88
PROCESSORS,412653.0,2014-12-01,2014-12-31,5503.0,1375.75
PROCESSORS,412969.0,2014-12-01,2014-12-31,44519.0,11129.75
PROCESSORS,415762.0,2014-12-01,2014-12-31,49535.04,12383.76
PROCESSORS,412299.0,2014-12-01,2014-12-31,33381.01,8345.25
PROCESSORS,417525.0,2014-12-01,2014-12-31,4781.3,1195.33
PROCESSORS,412729.0,2014-12-01,2014-12-31,820.0,205.0
PROCESSORS,412169.0,2014-12-01,2014-12-31,2743.76,685.94
PROCESSORS,417157.0,2014-12-01,2014-12-31,1042.0,260.5
PROCESSORS,413123.0,2014-12-01,2014-12-31,1568.0,392.0
PROCESSORS,417623.0,2014-12-01,2014-12-31,14479.5,3619.88
PROCESSORS,412672.0,2014-12-01,2014-12-31,91509.6,22877.4
PROCESSORS,415695.0,2014-12-01,2014-12-31,7159.2,1789.8
PROCESSORS,412686.0,2014-12-01,2014-12-31,11884.5,2971.13
PROCESSORS,412295.0,2014-12-01,2014-12-31,26501.5,6625.38
PROCESSORS,412304.0,2014-12-01,2014-12-31,7005.5,1751.38
PROCESSORS,412601.0,2014-12-01,2014-12-31,8648.36,2162.09
PROCESSORS,412236.0,2014-12-01,2014-12-31,52970.25,13242.56
